央视,#genre#
金鹰纪实,http://61.136.96.78:880/55.m3u8
动漫秀场,http://61.136.96.78:880/90.m3u8
游戏风云,http://61.136.96.78:880/91.m3u8
都市剧场,http://61.136.96.78:880/92.m3u8
国学频道,http://61.136.96.78:880/87.m3u8
金色学堂,http://61.136.96.78:880/96.m3u8
魅力足球,http://61.136.96.78:880/97.m3u8
书画,http://61.136.96.78:880/93.m3u8
乐游,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226580/index.m3u8
茶频道,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226808/index.m3u8
河北影视剧,http://116.132.87.246:8888/newlive/live/hls/22/live.m3u8
都市剧场,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226581/index.m3u8
佛坪电视台,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226454/index.m3u8
9画面,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226337/index.m3u8
洋县电视台1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226938/index.m3u8
游戏风云,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226579/index.m3u8
邯郸公共,http://116.132.87.246:8888/newlive/live/hls/25/live.m3u8
邯郸科教教育,http://116.132.87.246:8888/newlive/live/hls/26/live.m3u8
邯郸新闻综合,http://116.132.87.246:8888/newlive/live/hls/24/live.m3u8
河北都市,http://116.132.87.246:8888/newlive/live/hls/21/live.m3u8
河北公共,http://116.132.87.246:8888/newlive/live/hls/23/live.m3u8
河北经济生活,http://116.132.87.246:8888/newlive/live/hls/20/live.m3u8
